requested_rows,selected_rows,sampling_fraction,redshift_ks_distance,redshift_normalized_wasserstein,redshift_js_bits,tracer_total_variation_distance,sky_occupancy_correlation,sky_occupancy_nrmse,sky_occupied_cell_recall,voxel_occupancy_correlation,voxel_occupancy_nrmse,voxel_occupied_cell_recall,policy,policy_label
125000,125001,0.02051275571406957,0.0011852428757742617,0.00026788554043504626,2.215151461691262e-05,6.210220595424809e-05,0.9999454605982508,0.007505105207513954,0.9774436090225563,0.9842418926742375,0.16249621254780183,0.5956441339634272,gpu_index,Current GPU index threshold
250000,250001,0.04102534732740623,0.0006569385989116938,0.00016831984433683233,1.6954905515779117e-05,0.00016898978552165947,0.9999822753826665,0.0042753282482142175,0.9849624060150376,0.9926696834419535,0.11012131802281058,0.7187863844942127,gpu_index,Current GPU index threshold
500000,500000,0.08205036645334665,0.0004717766516820765,0.0001281157180727305,8.172600826844043e-06,2.4103053947465564e-05,0.9999945223159158,0.002376599443064653,0.9924812030075187,0.9968391319687783,0.07209057684729667,0.8228203547702212,gpu_index,Current GPU index threshold
1000000,1000001,0.16410089700742622,0.00025888068751445115,8.663700007738758e-05,4.1488862249810185e-06,9.893551253206678e-06,0.9999984338839822,0.0012724047342962121,0.9924812030075187,0.9986316794595124,0.04736941007630294,0.9001780699952058,gpu_index,Current GPU index threshold
125000,125000,0.020512591613336663,0.0015073959478277832,0.0006877966244491875,6.127352453967115e-05,0.0019485066183466265,0.9994070183416202,0.024952320079731714,0.9849624060150376,0.9754439322997354,0.20431587456534536,0.5785220190397918,lowest_hash,Object-ID lowest hash
250000,250000,0.041025183226673326,0.001194231196271378,0.0004910066851890492,2.2911945106789438e-05,0.0017175162028140456,0.9997121654990616,0.017384756038764902,0.9924812030075187,0.9880938948508606,0.14081051090375749,0.7029997945346209,lowest_hash,Object-ID lowest hash
500000,500000,0.08205036645334665,0.0009877445896809,0.0002820822549861256,1.4709879537975165e-05,0.0010255162028140578,0.9998905632079506,0.010640021425210353,0.9924812030075187,0.9943320166467913,0.09665737869441132,0.8106978974042873,lowest_hash,Object-ID lowest hash
1000000,1000000,0.1641007329066933,0.0005984144098166444,0.0003690744467769154,5.563168164129992e-06,0.0009655162028140464,0.999966101199901,0.005915451274158274,1.0,0.9972884720974964,0.06676726574533955,0.8892541606739265,lowest_hash,Object-ID lowest hash
125000,125000,0.020512591613336663,0.0013926809235195181,0.00037188525116659297,1.5140527163553376e-06,0.00028410305394745844,0.9999960264796002,0.002130320019728082,0.9548872180451128,0.9787688674278914,0.1895317382142635,0.5818779535648243,tracer_sky_redshift_hash,Tracer + sky + redshift hash
250000,250000,0.041025183226673326,0.0006631334129112987,0.0001410586417356989,8.761495389341321e-07,5.650661834663909e-05,0.9999992623785295,0.0008743434547785218,0.9774436090225563,0.9896628486190494,0.1309147146119829,0.7090610232175878,tracer_sky_redshift_hash,Tracer + sky + redshift hash
500000,500000,0.08205036645334665,0.0003697785480301641,0.0001112392386652317,1.288768130728792e-07,4.909346948006252e-05,0.9999997455477084,0.0005156905650264593,0.9849624060150376,0.9949645681665497,0.09106193721801445,0.8128552838846654,tracer_sky_redshift_hash,Tracer + sky + redshift hash
1000000,1000000,0.1641007329066933,0.000301324572870465,7.285266832844891e-05,2.041601827616291e-08,1.5516202814043478e-05,0.9999999532981358,0.00021944380489726268,0.9924812030075187,0.9976164476255267,0.06255554676084032,0.8909663721662899,tracer_sky_redshift_hash,Tracer + sky + redshift hash
